PID,Name,Title,Journal,JournalISSN,JournalEISSN,Year,ContentType,PublicationSubtype,Status,ISI,ScopusId,FridaLevel,nsd,FullTextLink,FreeFulltext,doaj
426102,"Reyhanian, Nasim [shnmrn07] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470]) (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Molekylärbiologi [7472]);Volkova, Kristina [shkava06] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470]);Hallgren, Stefan [shsnhn02] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470]) (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Biologi [7362]);Bollner, Tomas [shtsbr] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Biologi [7362]);Olsson, Per-Erik;Olsén, K Håkan [SHHNON] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470]) (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Biologi [7362]);Porsch Hällström, Inger [shirpm] [0000-0001-9498-3033] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470]) (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Molekylärbiologi [7472])",17α-Ethinyl estradiol affects anxiety and shoaling behavior in adult male zebra fish (Danio rerio),Aquatic Toxicology,0166-445X,1879-1514,2011,Refereegranskat,NA,published,000294317500005,2-s2.0-79960336976,2,TRUE,NA,NA,FALSE
474491,"Andersson, Pernilla [shpaan11] [0000-0002-0045-1587] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470]) (Södertörns högskola [481], Lärarutbildningen [495]);Öhman, Johan;Östman, Leif",A business to change the world : Moral responsibility in textbooks for International Economics,Utbildning och Demokrati,1102-6472,2001-7316,2011,Refereegranskat,NA,published,NA,NA,1,TRUE,NA,NA,TRUE
466634,"Khorosjutina, Olga;Wanrooij, Paulina H.;Walfridsson, Julian [SH99JNWN] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Molekylärbiologi [7472]);Szilagyi, Zsolt;Zhu, Xuefeng;Baraznenok, Vera;Ekwall, Karl [SHKLEL] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Molekylärbiologi [7472]);Gustafsson, Claes M.",A Chromatin-remodeling Protein Is a Component of Fission Yeast Mediator,Journal of Biological Chemistry,0021-9258,1083-351X,2010,Refereegranskat,NA,published,000281984300008,2-s2.0-77956924896,2,TRUE,NA,NA,FALSE
931148,"Jungar, Ann-Cathrine [sh01aejr] [0000-0002-7203-9495] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], Statsvetenskap [7516])",A clear victory for Niinistö in the presidentail elections,Baltic Worlds,2000-2955,0,2012,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,1,TRUE,NA,TRUE,TRUE
539560,"Lindblom, Per [SHPRIO] (Södertörns högskola [481], Södertörns högskolebibliotek [2050]);Herranz, Albert","A. Dagerman, una niña en la Revolución española (I)",El periódico CNT,1135-173X,0,2012,"Övrig (populärvetenskap, debatt, mm)",newsItem,published,NA,NA,0,FALSE,http://sh.diva-portal.org/smash/get/diva2:539560/FULLTEXT02.pdf,NA,FALSE
539562,"Lindblom, Per [SHPRIO] (Södertörns högskola [481], Södertörns högskolebibliotek [2050]);Herranz, Albert","A. Dagerman, una niña en la Revolución española (II)",El periódico CNT,1135-173X,0,2012,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,0,FALSE,http://sh.diva-portal.org/smash/get/diva2:539562/FULLTEXT02.pdf,NA,FALSE
601776,"Lundén, Thomas [shtsln03] (Södertörns högskola [481], Centrum för Östersjö- och Östeuropaforskning (CBEES) [496]);Balogh, Péter [shprbh08] (Södertörns högskola [481], Centrum för Östersjö- och Östeuropaforskning (CBEES) [496]);Borén, Thomas (Stockholms universitet);Chekalina, Tatiana (Mittuniversitetet);Gentile, Michael (Umeå universitet);Kravchenko, Zhanna [shzako03] [0000-0002-8840-1145] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], Sociologi [7508]);Lindström, Jonas [sh99jslm] [0000-0001-5355-3344] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], Sociologi [7508]);Polanska, Dominika V. [shdapa05] [0000-0002-4304-5060] (Södertörns högskola [481], Centrum för Östersjö- och Östeuropaforskning (CBEES) [496]);Vaattovaara, Mari (University of Helsinki);Wichmann Matthiessen, Christian (University of Copenhagen)",A hundred years later : Streetcars are still rattling in Baltic cities,Baltic Worlds,2000-2955,0,2012,Refereegranskat,NA,published,NA,NA,1,TRUE,http://sh.diva-portal.org/smash/get/diva2:601776/FULLTEXT03.pdf,NA,TRUE
585027,"Tillberg, Margareta [shmati11] (Södertörns högskola [481], Centrum för Östersjö- och Östeuropaforskning (CBEES) [496])","A Megaphone for the ""Artist-Politician""",Baltic Worlds,2000-2955,0,2012,Refereegranskat,NA,published,NA,NA,1,TRUE,NA,TRUE,TRUE
485490,"Boström, Magnus [shmsbm07] [0000-0002-7215-2623] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470])",A Missing Pillar? Challenges in theorizing and practicing social sustainability : introductory article in the special issue,"Sustainability: Science, Practice, & Policy",1548-7733,1548-7733,2012,Refereegranskat,NA,published,NA,2-s2.0-84862490973,1,TRUE,NA,NA,FALSE
454160,"Sandomirskaja, Irina [shiasa] (Södertörns högskola [481], Centrum för Östersjö- och Östeuropaforskning (CBEES) [496])",A Politeia in Besiegement : Lidiia Ginzburg on the Siege of Leningrad as a Political Paradigm,"Slavic Review: American quarterly of Russian, Eurasian and East European studies",0037-6779,2325-7784,2010,Övrigt vetenskapligt,NA,published,000277901700003,2-s2.0-79955567030,2,TRUE,NA,NA,FALSE
